record_type,problem_id,total_evaluations,is_final,evaluation_index,stage,sequential_iteration,normalized_x1,normalized_x2,physical_x1,physical_x2,objective_y1,objective_y2,constraint_label,feasible,pof_score,exact_feasible,predicted_feasible_at_half,error_class
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.00248756218905473,0.00248756218905473,0.00248756218905473,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.00746268656716418,0.00248756218905473,0.00746268656716418,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0124378109452736,0.00248756218905473,0.0124378109452736,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0174129353233831,0.00248756218905473,0.0174129353233831,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0223880597014925,0.00248756218905473,0.0223880597014925,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.027363184079602,0.00248756218905473,0.027363184079602,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0323383084577114,0.00248756218905473,0.0323383084577114,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0373134328358209,0.00248756218905473,0.0373134328358209,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0422885572139304,0.00248756218905473,0.0422885572139304,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0472636815920398,0.00248756218905473,0.0472636815920398,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0522388059701493,0.00248756218905473,0.0522388059701493,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0572139303482587,0.00248756218905473,0.0572139303482587,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0621890547263682,0.00248756218905473,0.0621890547263682,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0671641791044776,0.00248756218905473,0.0671641791044776,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0721393034825871,0.00248756218905473,0.0721393034825871,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0771144278606965,0.00248756218905473,0.0771144278606965,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.082089552238806,0.00248756218905473,0.082089552238806,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0870646766169154,0.00248756218905473,0.0870646766169154,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0920398009950249,0.00248756218905473,0.0920398009950249,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.0970149253731343,0.00248756218905473,0.0970149253731343,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.101990049751244,0.00248756218905473,0.101990049751244,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.106965174129353,0.00248756218905473,0.106965174129353,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.111940298507463,0.00248756218905473,0.111940298507463,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.116915422885572,0.00248756218905473,0.116915422885572,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.121890547263682,0.00248756218905473,0.121890547263682,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.126865671641791,0.00248756218905473,0.126865671641791,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.131840796019901,0.00248756218905473,0.131840796019901,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.13681592039801,0.00248756218905473,0.13681592039801,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.141791044776119,0.00248756218905473,0.141791044776119,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.146766169154229,0.00248756218905473,0.146766169154229,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.151741293532338,0.00248756218905473,0.151741293532338,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.156716417910448,0.00248756218905473,0.156716417910448,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.161691542288557,0.00248756218905473,0.161691542288557,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.166666666666667,0.00248756218905473,0.166666666666667,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.171641791044776,0.00248756218905473,0.171641791044776,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.176616915422886,0.00248756218905473,0.176616915422886,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.181592039800995,0.00248756218905473,0.181592039800995,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.186567164179104,0.00248756218905473,0.186567164179104,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.191542288557214,0.00248756218905473,0.191542288557214,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.196517412935323,0.00248756218905473,0.196517412935323,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.201492537313433,0.00248756218905473,0.201492537313433,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.206467661691542,0.00248756218905473,0.206467661691542,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.211442786069652,0.00248756218905473,0.211442786069652,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.216417910447761,0.00248756218905473,0.216417910447761,NaN,NaN,NaN,NaN,1,1,1,3
grid,COSSIN1,20,0,NaN,,NaN,0.00248756218905473,0.221393034825871,0.00248756218905473,0.221393034825871,NaN,NaN,NaN,NaN,1,1,1,3
